objective,fold,horizon,wape,rmsse,bias,best_iteration,train_seconds
tweedie,F1,28,0.9425561337330759,0.7525400749535243,0.045106277713629434,146,6.1
poisson,F1,28,0.9483748402343735,0.7564286145224105,0.04205234449528292,151,13.8
regression,F1,28,0.9498499411316991,0.7602455922908166,0.03977545592889132,147,5.1
